year;tbc
2009;1.580682
2009;7.8551631
2009;1.7759509
2009;9.4247208
2009;6.3347135
2009;1.7372251
2009;5.2967625
2009;6.2883601
2009;7.5525217
2009;2.9419641
2009;1.98
2009;8.6976023
2009;3.8464828
2009;6.7731099
2009;1.891619
2009;3.3782105
2009;1.9946761
2009;4.0151515
2009;2.28
2009;1.7145245
2009;3.742722
2009;1.7956407
2009;5.1199822
2009;2.0173013
2009;3.9869328
2009;4.25
2009;7.2387013
2009;3.7151661
2009;7.6991696
2009;4.5988336
2009;6.3331838
2009;5.6808867
2009;4.0689163
2009;4.8897076
2009;2.0080624
2009;3.26
2009;4.9881511
2009;6.8420815
2009;5.2256379
2009;5.1284842
2009;7.9383769
2009;6.0258737
2010;4.6804433
2010;5.2535181
2010;5.468749
2010;8.505806
2010;5.2095418
2010;6.8229218
2010;5.133357
2010;7.2883925
2010;6.7629323
2010;8.0601969
2010;8.5389032
2010;8.6547098
2010;6.5060458
2010;7.8685746
2010;1.2243497
2010;7.8505378
2010;6.3447981
2010;0.2370722
2010;7.7606301
2010;4.4309692
2010;7.1741195
2010;10.4026709
2010;12.0708923
2010;8.1015434
2010;0.3961307
2010;6.3045511
2010;9.2934132
2010;0.0938602
2010;7.633976
2010;7.7935705
2010;6.6764731
2010;9.0759974
2010;5.8360853
2010;0.8288763
2010;7.9154124
2010;6.8312974
2010;5.4898829
2010;6.5294762
2010;6.5481191
2010;0.725953
2010;5.9235382
2010;8.4070272
2010;9.3002949
2010;9.8554688
2010;3.7964594
2010;5.3449354
2010;0.001
2011;1.5088594
2011;1.2672943
2011;11.341383
2011;1.0671499
2011;1.2001063
2011;0.0351244
2011;0.9672856
2011;2.0576544
2011;0.7829709
2011;1.1795762
2011;5.6779466
2011;8.6150799
2011;8.5059147
2011;8.2349319
2011;1.6423628
2011;8.3040991
2011;1.2023844
2011;8.7562857
2011;1.6181848
2011;1.2366447
2011;10.5182819
2011;9.8970947
2011;10.0863352
2011;1.9719478
2011;7.2599235
2011;1.0104468
2011;3.7605112
2011;6.7387142
2011;6.5886803
2011;9.6744528
2011;5.4101644
2011;7.0619192
2011;11.1761923
2011;2.0369356
2011;4.3761148
2011;6.562582
2011;1.0408849
2011;0.7688112
2011;3.4673505
2011;3.3923411
2012;3.3647091
2012;9.0513105
2012;6.860487
2012;7.9817624
2012;5.8263845
2012;4.0379734
2012;9.351347
2012;10.4903297
2012;3.2227671
2012;3.7393396
2012;7.4056978
2012;7.0322084
2012;5.154026
2012;5.6952353
2012;9.0649805
2012;2.3973608
2012;12.2814245
2012;12.2828417
2012;6.5324135
2012;10.8863029
2012;6.7070689
2012;9.2821865
2012;7.7492261
2012;10.8392668
2012;0.2029712
2012;3.9180098
2012;6.7247853
2012;3.9018774
2012;4.0622215
2012;7.2822552
2012;0.9621385
2012;1.8015633
2012;4.9284782
2012;9.1352491
2012;5.8311744
2012;4.3348312
2012;7.7640595
2012;6.9698544
2012;9.1237774
2012;8.2174397
2012;9.367075
2012;6.2641673
2012;6.2243333
2012;5.6582251
2012;6.9724727
2012;2.012157
2012;6.1906514
2012;4.0617151
2012;6.5284724
2012;8.1561747
2012;6.7460461
2012;5.0597768
2012;3.9424033
2012;1.1604024
2012;5.1327028
2012;4.0256009
2012;7.9697394
2012;9.7562704
2012;11.3527336
2012;7.0160704
2012;1.4007372
2012;8.6152897
2012;3.9726517
2012;2.5827649
2012;2.6050742
2012;10.5926743
2012;3.4654639
2012;8.4758339
2012;7.0281053
2012;6.9116716
2012;7.8814545
2013;9.2745171
2013;5.4410248
2013;7.2696514
2013;9.0873823
2013;0.8578003
2013;5.4427495
2013;6.0093689
2013;10.8745747
2013;5.6246505
2013;8.5622606
2013;2.8612604
2013;9.1025219
2013;5.1795683
2013;5.1391821
2013;3.9555113
2013;4.7892313
2013;5.9533577
2013;6.0223093
2013;3.8693173
2013;8.56075
2013;4.5771627
2013;9.5398054
2013;1.7456207
2013;8.3751516
2013;1.0884534
2013;8.0555687
2013;1.0635566
2013;7.6726775
2013;7.9526801
2013;5.1106954
2013;8.7092934
2013;1.9318815
2013;4.797905
2013;0.7764615
2013;8.9914474
2013;5.3135362
2013;2.3208148
2013;10.6147251
2013;6.6063652
2013;6.5132041
2013;9.6616154
2013;6.4478002
2013;8.8046513
2013;11.3020296
2013;10.4343128
2013;11.0408545
2013;12.420332
2013;12.9875879
2013;10.4439659
2013;10.041091
2013;11.1292038
2013;11.364603
2013;9.9884768
2013;12.1346855
2013;8.5557909
2013;15.1541357
2013;10.059639
2013;13.6923857
2013;13.6422939
2013;9.7884598
2013;13.7057076
2013;11.5377092
2013;12.2569237
2013;12.8368521
2013;5.4532838
2013;9.366147
2013;5.4207926
2013;7.3244977
2013;9.1853533
2013;13.7140493
2013;11.8411732
2013;14.6712952
2013;13.276783
2013;15.4424725
2013;13.8350058
2013;15.1849661
2013;14.0937176
2013;12.206358
2013;5.1056919
2013;8.4677343
